delta_t_cg,c2,gamma,nu,D
0.0,3.9024182945946384,-0.026318144389120456,0.02539384069546648,-148.27862621681803
0.002,3.8714166148283646,0.025059160084888066,0.03297359845055555,154.49107638539823
0.006,3.8875608191848046,0.10652921395104198,0.04053442092307858,36.49290814228128
0.01,3.924854886246541,0.22452368318333765,0.07087507536623822,17.480805724363833
0.014,3.9538744269493757,0.3225574625276153,0.10630666841098932,12.257891651199577
0.018000000000000002,3.9868513526871676,0.43216424317939406,0.15032628771140705,9.225315179609158
0.022,3.9812370185241477,0.5490396501254128,0.17824312819423752,7.251274143160235
0.026000000000000002,3.995886985681135,0.6045641994069358,0.19035223051115666,6.609532932318871
0.03,4.001812756319575,0.6520434838673814,0.22915676498387844,6.137340308324437
0.034,3.997669408891621,0.7020259404927276,0.25307846012979235,5.694475343868057
0.038,3.9927901998592246,0.7393810800646132,0.26768764924932603,5.400179024746348
0.042,3.9828622109526406,0.7804941659724591,0.2863785073948597,5.103000617551293
0.046,3.969994253214146,0.8235656462784792,0.30772250068318285,4.8204952102527825
0.05,3.954426961748347,0.8644784328148555,0.33043700202927984,4.574350049280249
0.054,3.941395383965061,0.9060121006708414,0.352701489968351,4.350267928040609
0.058,3.9296705443089497,0.9507520878777397,0.37503494730376463,4.133223155029536
0.062,3.9163753329431823,0.9970132612502618,0.39831713756585996,3.928107564017774
0.066,3.902163313558475,1.043702303373768,0.4206555808502278,3.738770433815017
0.07,3.887626520799456,1.0908355424732825,0.4427493568891169,3.5638979199237766
0.074,3.873175390269568,1.1385523849995565,0.46481360108353914,3.4018420595298977
0.078,3.85821206615914,1.1871823708493625,0.4866610903922369,3.2498899586916923
0.082,3.8425211245217614,1.236179299355511,0.5081725337461223,3.108384945877254
0.08600000000000001,3.8259387448873947,1.284801540706126,0.5293060638421802,2.9778441445397563
0.09,3.8089863256491707,1.3326188422863472,0.5499096043034104,2.858271401231405
0.094,3.7913844128469227,1.379960889509672,0.5700127386620049,2.747457874834466
0.098,3.7728639583008694,1.4267824800825235,0.5897549334411123,2.644316152580351
0.10200000000000001,3.7536015757051193,1.472995339282276,0.6090353792861645,2.5482779718326056
0.106,3.733663859161036,1.5185955903393105,0.6280208831118906,2.4586294619272517
0.11,3.713038780139197,1.5636041863497263,0.6465192896027468,2.3746666915796513
0.114,3.691713137000145,1.608192087854372,0.6649938580857404,2.295567280103696
0.11800000000000001,3.6696043195705332,1.652241811258467,0.6833160476524855,2.2209850244471765
0.122,3.6466750643629364,1.6958038016233212,0.7014002028561432,2.1504109501772133
0.126,3.622963262589022,1.7389320759875728,0.7191453683733425,2.0834415056329743
0.13,3.598471904085435,1.7815432786764356,0.7365233611270109,2.019862187551712
0.134,3.573129160434376,1.8236930644195972,0.7533412005768837,1.9592820909101547
0.138,3.546960781539725,1.8652957730734263,0.7695449086442833,1.9015540767003607
0.14200000000000002,3.5201692872858024,1.9063428094096257,0.7853167661231071,1.8465562803869267
0.146,3.492876343434008,1.9467748070646502,0.8007204564016095,1.7941861229962042
0.15,3.464986097651541,1.986576280762255,0.815628401252598,1.7441998735241198
0.154,3.436516210674403,2.0257110277012957,0.8298404356616811,1.696449376875851
0.158,3.407460562178033,2.0640551350439993,0.8435631838005282,1.6508573362820544
0.162,3.377820681683676,2.101443421890913,0.8569892123480843,1.6073812154524998
0.166,3.3476826663235615,2.138011520989053,0.8701116074196017,1.5657926224714214
0.17,3.3170992425772243,2.1737623734945255,0.882928833161578,1.5259714139060556
0.17400000000000002,3.2861423258929547,2.208751162107427,0.895528440448849,1.4877829527693653
0.178,3.254706683637275,2.2430513363195113,0.907891234312632,1.4510174738032204
0.182,3.222751611819622,2.2766104770835454,0.9199723631473046,1.4155920146463228
0.186,3.190389644728205,2.3095362493632106,0.9316625283174447,1.3813983848956106
0.19,3.1575806757103364,2.3418581459265115,0.9429612674071983,1.348322775742294
0.194,3.1242819638411143,2.3736059297989076,0.9538069435174401,1.3162597567768144
0.198,3.0905223237333246,2.404648950248795,0.9642180699992994,1.2852280676618373
0.202,3.0561316945018895,2.4349686975340807,0.9741676132645753,1.2551010194081211
