t_center,scheme,c2,gamma,nu
0.6,exact,4.114809546883123,-0.41625822720118016,0.0274225894717548
0.6,fwd20,4.2194331882386535,0.4385337399407927,0.1240062116155608
0.6,ctr20,4.036699897386209,-0.41962737210868023,0.030798569899974468
0.6,ctr50,3.717439459261998,-0.3048688825139748,0.05041980880332853
0.62,exact,4.148431364331674,-0.41559230553897064,0.030411056732166514
0.62,fwd20,4.188471403965734,0.4129858296557279,0.1263229344058118
0.62,ctr20,4.071452416539119,-0.3674126337125454,0.032426236520411225
0.62,ctr50,3.9459296995557707,-0.23846403772052743,0.033057082589670106
0.64,exact,3.9044416389505043,-0.45128057599706345,-0.1304282804703406
0.64,fwd20,4.106995352877176,0.5590552727503662,0.2624598253650453
0.64,ctr20,4.0440124094310885,-0.5802255824226024,-0.047331421792403225
0.64,ctr50,3.8567828135504305,-0.446771945088997,-0.05057646925825856
0.66,exact,3.8910952702262094,-0.6130902933649234,-0.10154459584069497
0.66,fwd20,4.073278938776808,0.48088972920078554,0.2920042708681032
0.66,ctr20,3.8704158005737246,-0.5927997691337084,-0.08578075457003495
0.66,ctr50,3.721684258679501,-0.5621205465506415,-0.07516420479439194
0.68,exact,3.8965641345226376,-0.617600198187789,-0.14335004230552706
0.68,fwd20,4.08227126103061,0.4898656661639293,0.3036876035845096
0.68,ctr20,3.8491487246570024,-0.6407836672744551,-0.14058807563101966
0.68,ctr50,3.7895761596935684,-0.49170636933692846,-0.14925206187653078
0.7000000000000001,exact,3.9459077197588464,-0.33286120460079077,-0.10687620338741022
0.7000000000000001,fwd20,4.103593644552605,0.512450717924331,0.262105089662197
0.7000000000000001,ctr20,3.911754037959603,-0.33653873254669775,-0.09827871199757399
0.7000000000000001,ctr50,3.7178896646061075,-0.26371650025949356,-0.16684643258520002
0.72,exact,3.903076735855609,-0.32641336775999646,-0.17613924721258872
0.72,fwd20,4.0683177913808795,0.5527511525379537,0.2709343446544966
0.72,ctr20,3.8640580953374095,-0.3198047009199527,-0.1870821672439232
0.72,ctr50,3.679483797211925,-0.28609916249216727,-0.1472462730916457
0.74,exact,3.9127493586990494,-0.29066347553848626,-0.16253557601887145
0.74,fwd20,4.056081914494397,0.5900950940948321,0.2779283443325486
0.74,ctr20,3.8650198796969155,-0.28856963486085213,-0.14811243805977725
0.74,ctr50,3.6740723516366307,-0.2823031104103803,-0.022464500971727863
0.76,exact,3.9246372970595056,-0.2327917895570463,-0.12579353423992284
0.76,fwd20,4.046347166392361,0.5924067127855647,0.2641010998442215
0.76,ctr20,3.8429212416100453,-0.20347258378979036,-0.11972090436565165
0.76,ctr50,3.6071776997270275,-0.10464330089347686,-0.10331800910194174
0.78,exact,3.9099194919144864,-0.2225648219742263,-0.11609017361074231
0.78,fwd20,4.029175147531212,0.6049323282945788,0.24475764643459455
0.78,ctr20,3.8505187465417148,-0.20958726279069032,-0.12607313746082618
0.78,ctr50,3.6471556222008843,-0.053862320362354305,-0.1752252612037702
0.8,exact,3.936329043592327,0.09320782584553389,-0.10349801302151342
0.8,fwd20,4.0036846568882405,0.6054979674776768,0.2488113559675775
0.8,ctr20,3.88369094756469,0.1267264314300578,-0.09167194658308342
0.8,ctr50,3.656986312057801,0.253794208125091,-0.2562678946267353
0.8200000000000001,exact,4.137483054604297,0.16495085785190902,0.03534069308816587
0.8200000000000001,fwd20,3.996912758703335,0.6257452835365243,0.24584583222257408
0.8200000000000001,ctr20,4.118881329084219,0.48612363531562863,0.04943534202448685
0.8200000000000001,ctr50,3.829469778936479,0.43705826110028956,-0.25420644430318956
0.84,exact,3.979500935670302,0.12922999651251807,-0.043738067383716994
0.84,fwd20,4.00115936516425,0.6445184963383268,0.23931545920814834
0.84,ctr20,3.864682145494972,0.16652957300690732,0.008947808464786211
0.84,ctr50,3.7675816132422266,0.13067915478936093,0.05623336017637959
0.86,exact,4.253144913901787,0.0659717035818792,0.06413415246379632
0.86,fwd20,4.037119063506309,0.6081407844616153,0.238561577776584
0.86,ctr20,4.159516388578131,0.06771006132743185,0.044453079907065186
0.86,ctr50,3.8779972671438565,-0.1293972893161059,0.020027516419938274
0.88,exact,4.043079013462207,-0.20417799076659834,0.0827373576804736
0.88,fwd20,4.042439242094576,0.5721392273812125,0.22458646255201212
0.88,ctr20,4.011856895311064,-0.15929620668559324,0.06453745707849658
0.88,ctr50,3.9271281038099426,0.01437399914086862,0.025065599234664948
0.9,exact,3.96973956773376,-0.06829321886248357,0.1580985765436025
0.9,fwd20,4.051544898240619,0.6047524502160232,0.2323054967606195
0.9,ctr20,3.975825386149926,-0.06286545851926297,0.13729539639977809
0.9,ctr50,3.804735655529174,0.011632538274466475,0.052944862128167305
0.92,exact,3.8953697418967854,0.024650557237955728,0.2847025087963115
0.92,fwd20,3.9792978524079574,0.6807398069881827,0.2507432011135188
